publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Defence Studies	1470-2436	1743-9698	2001-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fdef20		fdef20		fulltext		Routledge	Serial								P
Defence and Peace Economics	1024-2694	1476-8267	1997-03	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=gdpe20		gdpe20		fulltext		Routledge	Serial							10.1080/gdpe19	P
Defense & Security Analysis	1475-1798	1475-1801	2002-03	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdan20		cdan20		fulltext		Routledge	Serial							10.1080/cdan19	P
Defense Analysis	0743-0175		1997-04	13	1	2001-12	17	3	http://www.tandfonline.com/openurl?genre=journal&stitle=cdan19		cdan19		fulltext		Routledge	Serial								P
Democracy and Security	1741-9166	1555-5860	2005-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fdas20		fdas20		fulltext		Routledge	Serial								P
Democratization	1351-0347	1743-890X	1997-03	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fdem20		fdem20		fulltext		Routledge	Serial								P
Dermato-Endocrinology		1938-1980	2009-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=kder20		kder20		fulltext		Taylor & Francis	Serial								F
Desalination and Water Treatment	1944-3994	1944-3986	2009-01	1	1-3				http://www.tandfonline.com/openurl?genre=journal&stitle=tdwt20		tdwt20		fulltext		Taylor & Francis	Serial								P
Design Philosophy Papers		1448-7136	2003-02	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfdp20		rfdp20		fulltext		Routledge	Serial								P
Design and Culture	1754-7075	1754-7083	2009-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rfdc20		rfdc20		fulltext		Routledge	Serial								P
Designed Monomers and Polymers		1568-5551	1998-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tdmp20		tdmp20		fulltext		Taylor & Francis	Serial								P
Development Southern Africa	0376-835X	1470-3637	1997-02	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdsa20		cdsa20		fulltext		Routledge	Serial								P
Development Studies Research		2166-5095	2014-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rdsr20		rdsr20		fulltext		Routledge	Serial								F
Development in Practice	0961-4524	1364-9213	1991-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdip20		cdip20		fulltext		Routledge	Serial								P
Developmental Neuropsychology	8756-5641	1532-6942	1997-01	13	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hdvn20		hdvn20		fulltext		Routledge	Serial								P
Deviant Behavior	0163-9625	1521-0456	1997-01	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=udbh20		udbh20		fulltext		Routledge	Serial								P
Diaspora, Indigenous, and Minority Education	1559-5692	1559-5706	2007-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hdim20		hdim20		fulltext		Routledge	Serial								P
Diatom Research	0269-249X	2159-8347	1997-05	12	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tdia20		tdia20		fulltext		Taylor & Francis	Serial								P
Digital Creativity	1462-6268	1744-3806	1997-04	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ndcr20		ndcr20		fulltext		Routledge	Serial							10.1080/ndcr19	P
Digital Journalism	2167-0811	2167-082X	2013-02	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rdij20		rdij20		fulltext		Routledge	Serial								P
Diplomacy & Statecraft	0959-2296	1557-301X	1997-03	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fdps20		fdps20		fulltext		Routledge	Serial								P
Disability & Society	0968-7599	1360-0508	1994-01	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdso20		cdso20		fulltext		Routledge	Serial							10.1080/cdso19	P
Disability, Handicap & Society	0267-4645		1986-01	1	1	1993-01	8	4	http://www.tandfonline.com/openurl?genre=journal&stitle=cdso19		cdso19		fulltext		Routledge	Serial								P
Disaster Health	2166-5044	2166-5052	2013-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=kdsh20		kdsh20		fulltext		Taylor & Francis	Serial								P
Discourse Processes	0163-853X	1532-6950	1997-01	23	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hdsp20		hdsp20		fulltext		Routledge	Serial								P
Discourse: Studies in the Cultural Politics of Education	0159-6306	1469-3739	1997-04	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdis20		cdis20		fulltext		Routledge	Serial								P
Distance Education	0158-7919	1475-0198	1997-01	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdie20		cdie20		fulltext		Routledge	Serial								P
Distinktion: Scandinavian Journal of Social Theory	1600-910X	2159-9149	2000-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rdis20		rdis20		fulltext		Routledge	Serial								P
Distributed Generation & Alternative Energy Journal	2156-3306	2156-6550	2011-01	26	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ucgn21		ucgn21		fulltext		Taylor & Francis	Serial							10.1080/ucgn20	P
Dramatherapy	0263-0672	2157-1430	1997-03	19	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rdrt20		rdrt20		fulltext		Routledge	Serial								P
Drugs & Society	8756-8233		1997-04	10	1-2	2001-02	16	1-2	http://www.tandfonline.com/openurl?genre=journal&stitle=wzds20		wzds20		fulltext		Routledge	Serial								P
Drying Technology	0737-3937	1532-2300	1997-01	15	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ldrt20		ldrt20		fulltext		Taylor & Francis	Serial								P
Dynamical Systems	1468-9367	1468-9375	2001-03	16	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cdss20		cdss20		fulltext		Taylor & Francis	Serial							10.1080/cdss19	P
Dynamics and Stability of Systems	0268-1110	1465-3389	1997-01	12	1	2000-12	15	4	http://www.tandfonline.com/openurl?genre=journal&stitle=cdss19		cdss19		fulltext		Taylor & Francis	Serial								P
Dynamics of Asymmetric Conflict	1746-7586	1746-7594	2008-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rdac20		rdac20		fulltext		Routledge	Serial								P
EDPACS	0736-6981	1936-1009	1997-01	24	7				http://www.tandfonline.com/openurl?genre=journal&stitle=uedp20		uedp20		fulltext		Taylor & Francis	Serial								P
EPE Journal	0939-8368	2376-9319	1997-08	7	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=tepe20		tepe20		fulltext		Taylor & Francis	Serial								P
Early Child Development and Care	0300-4430	1476-8275	1997-01	127	1				http://www.tandfonline.com/openurl?genre=journal&stitle=gecd20		gecd20		fulltext		Routledge	Serial								P
Early Education and Development	1040-9289	1556-6935	1997-01	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=heed20		heed20		fulltext		Routledge	Serial								P
Early Popular Visual Culture	1746-0654	1746-0662	2005-05	3	1				http://www.tandfonline.com/openurl?genre=journal&stitle=repv20		repv20		fulltext		Routledge	Serial								P
Early Years	0957-5146	1472-4421	1997-03	17	2				http://www.tandfonline.com/openurl?genre=journal&stitle=ceye20		ceye20		fulltext		Routledge	Serial								P
East African Agricultural and Forestry Journal	0012-8325	2313-450X	1999-07	65	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=teaf20		teaf20		fulltext		Taylor & Francis	Serial							10.1080/teaf19	P
East African Geographical Review	0070-7961		1997-03	19	1	1998-12	20	2	http://www.tandfonline.com/openurl?genre=journal&stitle=rafg19		rafg19		fulltext		Routledge	Serial								P
East European Jewish Affairs	1350-1674	1743-971X	1997-01	27	1				http://www.tandfonline.com/openurl?genre=journal&stitle=feej20		feej20		fulltext		Routledge	Serial							10.1080/feej19	P
East European Politics	2159-9165	2159-9173	2012-03	28	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fjcs21		fjcs21		fulltext		Routledge	Serial							10.1080/fjcs20	P
Eastern European Economics	0012-8775	1557-9298	2001-01	39	1				http://www.tandfonline.com/openurl?genre=journal&stitle=meee20		meee20		fulltext		Routledge	Serial								P
Eating Disorders	1064-0266	1532-530X	1997-01	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uedi20		uedi20		fulltext		Routledge	Serial								P
Ecological Psychology	1040-7413	1532-6969	1997-03	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=heco20		heco20		fulltext		Routledge	Serial								P
Ecology of Food and Nutrition	0367-0244	1543-5237	1997-02	36	1				http://www.tandfonline.com/openurl?genre=journal&stitle=gefn20		gefn20		fulltext		Routledge	Serial								P
Econometric Reviews	0747-4938	1532-4168	1997-01	16	1				http://www.tandfonline.com/openurl?genre=journal&stitle=lecr20		lecr20		fulltext		Taylor & Francis	Serial								P
Economic Geography	0013-0095	1944-8287	1997-01	73	1				http://www.tandfonline.com/openurl?genre=journal&stitle=recg20		recg20		fulltext		Routledge	Serial								P
Economic History of Developing Regions	2078-0389	2078-0397	2010-06	25	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rehd20		rehd20		fulltext		Routledge	Serial							10.1080/rehd19	P
Economic Systems Research	0953-5314	1469-5758	1997-03	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cesr20		cesr20		fulltext		Routledge	Serial								P
Economics & Finance Research	2164-9480	2164-9499	2013-01	1	1	2013-01	1	1	http://www.tandfonline.com/openurl?genre=journal&stitle=refr20		refr20		fulltext		Cogent OA	Serial								F
Economics of Innovation and New Technology	1043-8599	1476-8364	1997-01	4	4				http://www.tandfonline.com/openurl?genre=journal&stitle=gein20		gein20		fulltext		Routledge	Serial								P
Economy and Society	0308-5147	1469-5766	1997-02	26	1				http://www.tandfonline.com/openurl?genre=journal&stitle=reso20		reso20		fulltext		Routledge	Serial								P
Ecquid Novi: African Journalism Studies	0256-0054	1942-0773	1997-01	18	1				http://www.tandfonline.com/openurl?genre=journal&stitle=recq20		recq20		fulltext		Routledge	Serial								P
Edebiyat: Journal of M.E. Literatures	0364-6505		2001-01	12	2				http://www.tandfonline.com/openurl?genre=journal&stitle=gede20		gede20		fulltext		Taylor & Francis	Serial								P
Education 3-13	0300-4279	1475-7575	1997-03	25	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rett20		rett20		fulltext		Routledge	Serial								P
Education Economics	0964-5292	1469-5782	1997-04	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cede20		cede20		fulltext		Routledge	Serial								P
Education as Change	1682-3206	1947-9417	2004-07	8	1				http://www.tandfonline.com/openurl?genre=journal&stitle=redc20		redc20		fulltext		Routledge	Serial								P
Education, Communication & Information	1463-631X	1470-6725	2001-05	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=reci20		reci20		fulltext		Routledge	Serial								P
Educational Action Research	0965-0792	1747-5074	1997-03	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=reac20		reac20		fulltext		Routledge	Serial								P
Educational Assessment	1062-7197	1532-6977	1997-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=heda20		heda20		fulltext		Routledge	Serial								P
Educational Gerontology	0360-1277	1521-0472	1997-01	23	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uedg20		uedg20		fulltext		Routledge	Serial								P
Educational Media International	0952-3987	1469-5790	1997-03	34	1				http://www.tandfonline.com/openurl?genre=journal&stitle=remi20		remi20		fulltext		Routledge	Serial							10.1080/remi19	P
Educational Philosophy and Theory	0013-1857	1469-5812	1997-01	29	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rept20		rept20		fulltext		Routledge	Serial								P
Educational Psychologist	0046-1520	1532-6985	1997-01	32	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hedp20		hedp20		fulltext		Routledge	Serial								P
Educational Psychology	0144-3410	1469-5820	1997-03	17	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=cedp20		cedp20		fulltext		Routledge	Serial								P
Educational Psychology in Practice	0266-7363	1469-5839	1997-01	12	4				http://www.tandfonline.com/openurl?genre=journal&stitle=cepp20		cepp20		fulltext		Routledge	Serial								P
Educational Research	0013-1881	1469-5847	1997-03	39	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rere20		rere20		fulltext		Routledge	Serial								P
Educational Research and Evaluation	1380-3611	1744-4187	1997-01	3	1				http://www.tandfonline.com/openurl?genre=journal&stitle=nere20		nere20		fulltext		Routledge	Serial								P
Educational Review	0013-1911	1465-3397	1997-02	49	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cedr20		cedr20		fulltext		Routledge	Serial								P
Educational Studies	0013-1946	1532-6993	1997-03	28	1				http://www.tandfonline.com/openurl?genre=journal&stitle=heds20		heds20		fulltext		Routledge	Serial								P
Educational Studies	0305-5698	1465-3400	1997-04	23	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceds20		ceds20		fulltext		Routledge	Serial								P
Electric Machines & Power Systems	0731-356X		1997-01	25	1	2000-12	28	12	http://www.tandfonline.com/openurl?genre=journal&stitle=uemp19		uemp19		fulltext		Taylor & Francis	Serial								P
Electric Power Components and Systems	1532-5008	1532-5016	2001-01	29	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uemp20		uemp20		fulltext		Taylor & Francis	Serial							10.1080/uemp19	P
Electromagnetics	0272-6343	1532-527X	1997-01	17	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uemg20		uemg20		fulltext		Taylor & Francis	Serial								P
Emerging Markets Finance and Trade	1540-496X	1558-0938	2003-01	39	1				http://www.tandfonline.com/openurl?genre=journal&stitle=mree20		mree20		fulltext		Routledge	Serial								P
Emotional and Behavioural Difficulties	1363-2752	1741-2692	1997-03	2	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rebd20		rebd20		fulltext		Routledge	Serial								P
Employee Assistance Quarterly	0749-0003		1997-01	12	3	2005-07	19	4	http://www.tandfonline.com/openurl?genre=journal&stitle=wzea20		wzea20		fulltext		Routledge	Serial								P
Endocrine Disruptors		2327-3747	2013-10	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=kend20		kend20		fulltext		Taylor & Francis	Serial								F
Energy Engineering	0199-8595	1546-0118	1997-01	94	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uene20		uene20		fulltext		Taylor & Francis	Serial								P
Energy Sources	0090-8312	1521-0510	1997-01	19	1	2005-12	27	16	http://www.tandfonline.com/openurl?genre=journal&stitle=ueso19		ueso19		fulltext		Taylor & Francis	Serial								P
Energy Sources, Part A: Recovery, Utilization, and Environmental Effects	1556-7036	1556-7230	2006-01	28	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ueso20		ueso20		fulltext		Taylor & Francis	Serial							10.1080/ueso19	P
Energy Sources, Part B: Economics, Planning, and Policy	1556-7249	1556-7257	2006-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uesb20		uesb20		fulltext		Taylor & Francis	Serial							10.1080/ueso19	P
Engineering Management Journal	1042-9247	2377-0643	1997-03	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uemj20		uemj20		fulltext		Taylor & Francis	Serial								P
Engineering Optimization	0305-215X	1029-0273	1997-05	27	4				http://www.tandfonline.com/openurl?genre=journal&stitle=geno20		geno20		fulltext		Taylor & Francis	Serial								P
Engineering Project Organization Journal	2157-3727	2157-3735	2011-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tepo20		tepo20		fulltext		Taylor & Francis	Serial								P
Engineering Structures and Technologies	2029-882X	2029-8838	2012-03	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tesn20		tesn20		fulltext		Taylor & Francis	Serial							10.1080/tesn19	P
Engineering Studies	1937-8629	1940-8374	2009-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=test20		test20		fulltext		Routledge	Serial								P
English Academy Review	1013-1752	1753-5360	1997-12	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=racr20		racr20		fulltext		Routledge	Serial								P
English Studies	0013-838X	1744-4217	1997-01	78	1				http://www.tandfonline.com/openurl?genre=journal&stitle=nest20		nest20		fulltext		Routledge	Serial								P
English Studies in Africa	0013-8398	1943-8117	1997-01	40	1				http://www.tandfonline.com/openurl?genre=journal&stitle=reia20		reia20		fulltext		Routledge	Serial								P
Enterprise Information Systems	1751-7575	1751-7583	2007-02	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=teis20		teis20		fulltext		Taylor & Francis	Serial								P
Entrepreneurship & Regional Development	0898-5626	1464-5114	1997-01	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tepn20		tepn20		fulltext		Routledge	Serial								P
Environment: Science and Policy for Sustainable Development	0013-9157	1939-9154	1997-01	39	1				http://www.tandfonline.com/openurl?genre=journal&stitle=venv20		venv20		fulltext		Routledge	Serial							10.1080/vzsc20	P
Environmental Claims Journal	1040-6026	1547-657X	1997-03	9	3				http://www.tandfonline.com/openurl?genre=journal&stitle=becj20		becj20		fulltext		Routledge	Serial								P
Environmental Communication	1752-4032	1752-4040	2007-05	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=renc20		renc20		fulltext		Routledge	Serial								P
Environmental Education Research	1350-4622	1469-5871	1997-02	3	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceer20		ceer20		fulltext		Routledge	Serial								P
Environmental Forensics	1527-5922	1527-5930	2000-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uenf20		uenf20		fulltext		Taylor & Francis	Serial								P
Environmental Hazards	1747-7891	1878-0059	2002-01	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tenh20		tenh20		fulltext		Taylor & Francis	Serial								P
Environmental Politics	0964-4016	1743-8934	1997-03	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=fenp20		fenp20		fulltext		Routledge	Serial								P
Environmental Sciences	1569-3430	1744-4225	2004-01	1	1	2008-12	5	4	http://www.tandfonline.com/openurl?genre=journal&stitle=nens19		nens19		fulltext		Taylor & Francis	Serial								P
Environmental Sociology		2325-1042	2015-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rens20		rens20		fulltext		Routledge	Serial								P
Environmental Technology	0959-3330	1479-487X	1990-01	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tent20		tent20		fulltext		Taylor & Francis	Serial							10.1080/tent19	P
Environmental Technology Letters	0143-2060		1980-01	1	1	1989-12	10	12	http://www.tandfonline.com/openurl?genre=journal&stitle=tent19		tent19		fulltext		Taylor & Francis	Serial								P
Environmental Technology Reviews	2162-2515	2162-2523	2012-11	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tetr20		tetr20		fulltext		Taylor & Francis	Serial								P
Epigenetics	1559-2294	1559-2308	2006-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=kepi20		kepi20		fulltext		Taylor & Francis	Serial								P
Equity & Excellence in Education	1066-5684	1547-3457	1997-04	30	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ueee20		ueee20		fulltext		Routledge	Serial								P
Ergonomics	0014-0139	1366-5847	1997-01	40	1				http://www.tandfonline.com/openurl?genre=journal&stitle=terg20		terg20		fulltext		Taylor & Francis	Serial								P
Ethics & Behavior	1050-8422	1532-7019	1997-03	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hebh20		hebh20		fulltext		Routledge	Serial								P
Ethics and Education	1744-9642	1744-9650	2006-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceae20		ceae20		fulltext		Routledge	Serial								P
Ethics and Social Welfare	1749-6535	1749-6543	2007-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=resw20		resw20		fulltext		Routledge	Serial								P
Ethics, Place & Environment	1366-879X	1469-6703	1998-03	1	1	2010-10	13	3	http://www.tandfonline.com/openurl?genre=journal&stitle=cepe20		cepe20		fulltext		Routledge	Serial								P
Ethics, Policy & Environment	2155-0085	2155-0093	2011-03	14	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cepe21		cepe21		fulltext		Routledge	Serial							10.1080/cepe20	P
Ethnic and Racial Studies	0141-9870	1466-4356	1997-01	20	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rers20		rers20		fulltext		Routledge	Serial								P
Ethnicity & Health	1355-7858	1465-3419	1997-03	2	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=ceth20		ceth20		fulltext		Routledge	Serial								P
Ethnography and Education	1745-7823	1745-7831	2006-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=reae20		reae20		fulltext		Routledge	Serial								P
Ethnomusicology Forum	1741-1912	1741-1920	2004-01	13	1				http://www.tandfonline.com/openurl?genre=journal&stitle=remf20		remf20		fulltext		Routledge	Serial							10.1080/remf19	P
Ethnopolitics	1744-9057	1744-9065	2005-03	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=reno20		reno20		fulltext		Routledge	Serial							10.1080/reno19	P
Ethnos	0014-1844	1469-588X	1997-01	62	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=retn20		retn20		fulltext		Routledge	Serial								P
Ethology Ecology & Evolution	0394-9370	1828-7131	1997-01	9	1				http://www.tandfonline.com/openurl?genre=journal&stitle=teee20		teee20		fulltext		Taylor & Francis	Serial							10.1080/teee19	P
Eurasian Geography and Economics	1538-7216	1938-2863	2002-04	43	3				http://www.tandfonline.com/openurl?genre=journal&stitle=rege20		rege20		fulltext		Routledge	Serial							10.1080/rege19	P
Europe-Asia Studies	0966-8136	1465-3427	1997-01	49	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceas20		ceas20		fulltext		Routledge	Serial							10.1080/ceas19	P
European Accounting Review	0963-8180	1468-4497	1997-05	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rear20		rear20		fulltext		Routledge	Serial								P
European Competition Journal	1744-1056	1757-8396	2005-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=recj20		recj20		fulltext		Routledge	Serial								P
European Early Childhood Education Research Journal	1350-293X	1752-1807	1997-01	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=recr20		recr20		fulltext		Routledge	Serial								P
European Education	1056-4934	1944-7086	1997-04	29	1				http://www.tandfonline.com/openurl?genre=journal&stitle=meue20		meue20		fulltext		Routledge	Serial							10.1080/meue19	P
European Journal of Agricultural Education and Extension	1381-2335		1997-03	3	4	1998-03	4	4	http://www.tandfonline.com/openurl?genre=journal&stitle=raee19		raee19		fulltext		Routledge	Serial								P
European Journal of Behavior Analysis	1502-1149	2377-729X	2000-12	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rejo20		rejo20		fulltext		Routledge	Serial								P
European Journal of Cognitive Psychology	0954-1446	1464-0635	1996-03	8	1	2010-12	22	8	http://www.tandfonline.com/openurl?genre=journal&stitle=pecp20		pecp20		fulltext		Routledge	Serial								P
European Journal of Computational Mechanics	1779-7179	1958-5829	2006-01	15	1-3				http://www.tandfonline.com/openurl?genre=journal&stitle=tecm20		tecm20		fulltext		Taylor & Francis	Serial							10.1080/tecm19	P
European Journal of Developmental Psychology	1740-5629	1740-5610	2004-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=pedp20		pedp20		fulltext		Routledge	Serial								P
European Journal of Engineering Education	0304-3797	1469-5898	1975-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceee20		ceee20		fulltext		Taylor & Francis	Serial								P
European Journal of English Studies	1382-5577	1744-4233	1997-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=neje20		neje20		fulltext		Routledge	Serial								P
European Journal of Environmental and Civil Engineering	1964-8189	2116-7214	2008-02	12	1-2				http://www.tandfonline.com/openurl?genre=journal&stitle=tece20		tece20		fulltext		Taylor & Francis	Serial							10.1080/tece19	P
European Journal of Higher Education	2156-8235	2156-8243	2011-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rehe20		rehe20		fulltext		Routledge	Serial								P
European Journal of Intercultural studies	0952-391X		1997-04	8	1	1999-11	10	3	http://www.tandfonline.com/openurl?genre=journal&stitle=ceji19		ceji19		fulltext		Routledge	Serial								P
European Journal of Phycology	0967-0262	1469-4433	1993-02	28	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tejp20		tejp20		fulltext		Taylor & Francis	Serial							10.1080/tejp19	P
European Journal of Physical Education	1362-7120		1997-01	2	1	2003-01	8	2	http://www.tandfonline.com/openurl?genre=journal&stitle=cpes19		cpes19		fulltext		Routledge	Serial								P
European Journal of Psychotherapy & Counselling	1364-2537	1469-5901	1998-04	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rejp20		rejp20		fulltext		Routledge	Serial								P
European Journal of Social Work	1369-1457	1468-2664	1998-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cesw20		cesw20		fulltext		Routledge	Serial								P
European Journal of Special Needs Education	0885-6257	1469-591X	1997-03	12	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rejs20		rejs20		fulltext		Routledge	Serial								P
European Journal of Sport Science	1746-1391	1536-7290	2001-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tejs20		tejs20		fulltext		Taylor & Francis	Serial								P
European Journal of Teacher Education	0261-9768	1469-5928	1997-01	20	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cete20		cete20		fulltext		Routledge	Serial							10.1080/cete19	P
European Journal of Work and Organizational Psychology	1359-432X	1464-0643	1997-03	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=pewo20		pewo20		fulltext		Routledge	Serial							10.1080/pewo19	P
European Planning Studies	0965-4313	1469-5944	1997-02	5	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ceps20		ceps20		fulltext		Routledge	Serial								P
European Politics and Society	2374-5118	2374-5126	2015-01	16	1				http://www.tandfonline.com/openurl?genre=journal&stitle=rpep21		rpep21		fulltext		Routledge	Serial							10.1080/rpep20	P
European Review of History: Revue européenne d'histoire	1350-7486	1469-8293	1997-03	4	1				http://www.tandfonline.com/openurl?genre=journal&stitle=cerh20		cerh20		fulltext		Routledge	Serial								P
European Review of Social Psychology	1046-3283	1479-277X	1990-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=pers20		pers20		fulltext		Routledge	Serial								P
European Romantic Review	1050-9585	1740-4657	1997-01	7	2				http://www.tandfonline.com/openurl?genre=journal&stitle=gerr20		gerr20		fulltext		Routledge	Serial								P
European Security	0966-2839	1746-1545	1997-03	6	1				http://www.tandfonline.com/openurl?genre=journal&stitle=feus20		feus20		fulltext		Routledge	Serial								P
European Societies	1461-6696	1469-8307	1999-01	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=reus20		reus20		fulltext		Routledge	Serial								P
European Sport Management Quarterly	1618-4742	1746-031X	2001-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=resm20		resm20		fulltext		Routledge	Serial								P
Evaluation & Research in Education	0950-0790	1747-7514	1997-01	11	1				http://www.tandfonline.com/openurl?genre=journal&stitle=revr20		revr20		fulltext		Routledge	Serial								P
Evidence-Based Communication Assessment and Intervention	1748-9539	1748-9547	2007-03	1	1				http://www.tandfonline.com/openurl?genre=journal&stitle=tebc20		tebc20		fulltext		Routledge	Serial								P
Exceptionality	0936-2835	1532-7035	1997-03	7	1				http://www.tandfonline.com/openurl?genre=journal&stitle=hexc20		hexc20		fulltext		Routledge	Serial								P
Experimental Aging Research	0361-073X	1096-4657	1997-01	23	1				http://www.tandfonline.com/openurl?genre=journal&stitle=uear20		uear20		fulltext		Routledge	Serial								P
Experimental Heat Transfer	0891-6152	1521-0480	1997-01	10	1				http://www.tandfonline.com/openurl?genre=journal&stitle=ueht20		ueht20		fulltext		Taylor & Francis	Serial								P
